name	g1	g2	mean1	mean2	pvalue	fold_change	enriched	qval	Project
185	Ackermannviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
186	Zobellviridae	Control	Disease	2.1990022246e-05	1e-09	0.159390406774034	21990.022246	Control	0.294259212505909	YangY_2021.old
187	Demerecviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
188	Polyomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
189	Adenoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
190	Smacoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
191	Parvoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
192	Papillomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
193	Alphaflexiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
194	Betaflexiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
195	Redondoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
196	Tectiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
197	Potyviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
198	Anelloviridae	Control	Disease	1e-09	7.04e-08	0.327086118655385	70.4	Disease	0.490629177983077	YangY_2021.old
199	Iflaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
200	Secoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	YangY_2021.old
201	Siphoviridae	Control	Disease	0.0717488739855927	0.0615956319467134	0.3059617576428	1.16483704636171	Control	0.545143531092308	YangY_2021.young
202	unknown	Control	Disease	0.826058701756956	0.842789377744562	0.666567448352137	1.02025361630114	Disease	0.757463009491064	YangY_2021.young
203	Myoviridae	Control	Disease	0.0569246848109787	0.0419432364317473	0.135564972979564	1.35718389074744	Control	0.42017768302703	YangY_2021.young
204	Quimbyviridae	Control	Disease	0.0208066811789047	0.0210693319051572	0.980750214266571	1.01262338399834	Disease	0.980750214266571	YangY_2021.young
205	Podoviridae	Control	Disease	0.00379872860795826	0.00200121244254475	0.479804809201694	1.89821356653558	Control	0.655902577443236	YangY_2021.young
206	Microviridae	Control	Disease	0.0068842259796428	0.00848417945852219	0.200966230499512	1.23240862278644	Disease	0.42017768302703	YangY_2021.young
207	Podoviridae_crAss-like	Control	Disease	0.00434179817994763	0.00297625849410759	0.920375773522722	1.45881084876987	Control	0.980750214266571	YangY_2021.young
208	Inoviridae	Control	Disease	0.00193689544410103	0.00155069147648879	0.471276178982034	1.24905274419043	Control	0.655902577443236	YangY_2021.young
